S 农业科学 
      S62 设施园艺（保护地栽培） 
        S621 基本作业 
        S622 促成栽培 
        S623 软化栽培 
        S624 温床 
          S624.1 温床类型 
          S624.2 温床设备 
          S624.3 加温方式 
          S624.4 温床管理 
            S624.4+1 日光能利用 
            S624.4+2 温度调节 
            S624.4+3 光照管理 
            S624.4+4 温度控制 
        S625 温室 
          S625.1 温室结构与性能 
          S625.2 温室类型 
          S625.3 温室设备 
          S625.4 加温方式 
          S625.5 温室管理 
            S625.5+1 温室调节和控制 
            S625.5+2 光线利用 
            S625.5+3 空气调节 
            S625.5+4 土壤施肥 
            S625.5+5 中耕轮作 
            S625.5+6 繁殖栽培 
            S625.5+7 整枝修剪 
            S625.5+8 浇水 
        S626 蔬菜设施园艺 
          S626.1 风障 
          S626.2 地面覆盖 
          S626.3 阳畦（冷床） 
          S626.4 塑料拱棚 
          S626.5 温室 
          S626.9 其他 
        S627 瓜果设施园艺 
        S628 果树设施园艺 
        S629 花卉设施园艺 
            S63/68 各种园艺 
      S63 蔬菜园艺 
        S63-3 蔬菜园艺理论与方法论 
          S63-33 丰产试验（经验） 
        S631 根菜类（直根类） 
          S631.1 萝卜 
          S631.2 胡萝卜 
          S631.3 芜菁 
          {S631.5} 大头菜（根用芥菜） 
          S631.9 其他 
        S632 薯芋类（块茎类） 
          S632.1 山药（薯蓣） 
          S632.2 豆薯（凉薯） 
          S632.3 芋 
          S632.5 姜 
          S632.9 其他 
        S633 葱蒜类 
          S633.1 大葱 
          S633.2 洋葱（葱头） 
          S633.3 韭菜 
          S633.4 大蒜 
          S633.9 其他 
        S634 白菜类 
          S634.1 大白菜 
          {S634.2} 榨菜（茎用芥菜） 
          S634.3 白菜（小白菜） 
          S634.4 乌塌菜 
          S634.5 菜薹 
          S634.6 紫菜薹 
          S634.7 薹菜 
          S634.9 其他 
        S635 甘蓝类 
          S635.1 结球甘蓝 
          S635.2 球茎甘蓝（苤蓝） 
          S635.3 花椰菜 
          S635.9 其他 
        S636 绿叶菜类 
          S636.1 菠菜 
          S636.2 莴苣（生菜） 
          S636.3 芹菜 
          S636.4 苋菜 
          S636.9 其他 
        S637 芥菜类 
          S637.1 根芥菜 
          S637.2 叶芥菜 
          S637.3 茎芥菜 
          S637.4 子芥菜 
          S637.9 其他 
        S641 茄果类 
          S641.1 茄子 
          S641.2 番茄（西红柿） 
          S641.3 辣椒 
          S641.4 酸浆（红姑娘） 
          S641.9 其他 
        S642 瓜类 
          S642.1 南瓜 
          S642.2 黄瓜 
          S642.3 冬瓜 
          S642.4 丝瓜 
          S642.5 苦瓜 
          S642.6 西葫芦（美洲南瓜） 
          S642.9 其他 
        S643 豆荚类 
          S643.1 菜豆（四季豆） 
          S643.2 刀豆 
          S643.3 豌豆 
          S643.4 豇豆 
          S643.5 扁豆（鹊豆、蛾眉豆） 
          S643.6 蚕豆 
          S643.7 菜用大豆 
          S643.9 其他 
        S644 多年生菜类 
          S644.1 食用百合 
          S644.2 竹笋 
          S644.3 黄花菜（金针菜） 
          S644.4 香椿 
          S644.5 草石蚕（甘露菜） 
          S644.6 芦笋、石刁柏（龙须菜） 
          S644.9 其他 
        S645 水生菜类 
          S645.1 莲藕 
          S645.2 茭白 
  
          S645.3 荸荠 
          S645.4 菱 
          S645.9 其他 
        S646 菌类（食用菌） 
          S646.1  奚【?
            S646.1+1 蘑菇 
            S646.1+2 香菇（香蕈） 
            S646.1+3 草菇 
            S646.1+4 平菇（侧耳） 
              S646.1+41 糙皮侧耳（蚝菇、鲍鱼菇、北风菌） 
              S646.1+43  镂补?
            S646.1+5 金针菇（毛柄金钱菌） 
            S646.1+6 滑菇 
            S646.1+9 其他 
          S646.2 多孔菌 
          S646.3 牛肝菌 
          S646.4 鸡油菌（杏菌） 
          S646.5 颤胶菌 
          S646.6 木耳（云耳、黑木耳） 
          S646.7 马鞍菌 
          S646.8 竹荪 
          S646.9 其他 
        S647 野生蔬菜 
        S649 其他蔬菜 
      S65 瓜果园艺 
        S651 西瓜 
        S652 甜瓜 
          S652.1 哈密瓜 
          S652.2 香瓜 
          S652.3 白兰瓜 
          S652.4 网纹甜瓜 
          S652.9 其他 
      S66 果树园艺 
        S66-3 果树园艺的理论与方法论 
          S66-33 丰产试验（经验） 
        S661 仁果类 
          S661.1 苹果 
          S661.2 梨 
          S661.3 沙果 
          S661.4 海棠类 
          S661.5 山楂 
          S661.6 木瓜 
          S661.9 其他 
  
        S662 核果类 
          S662.1 桃 
          S662.2 杏 
          S662.3 李 
          S662.4 梅 
          S662.5 樱桃 
  
          S662.9 其他 
        S663 浆果类 
          S663.1 葡萄 
          S663.2 悬钩子（黑莓） 
          S663.3 无花果 
          S663.4 猕猴桃 
          S663.9 其他 
        S664 坚果类（壳果类） 
          S664.1 核桃（胡桃） 
          S664.2 栗 
  
          S664.3 银杏（白果） 
          S664.4 榛子 
          S664.5 榧 
          S664.9 其他 
        S665 杂果类 
          S665.1 枣 
          S665.2 柿 
          S665.3 君迁子（软枣、黑枣） 
          S665.4 石榴 
          S665.9 其他 
        S666 柑桔类 
          S666.1 柑 
          S666.2 橘 
          S666.3 柚（文旦） 
          S666.4 橙 
          S666.5 柠檬 
          S666.6 黄皮 
          S666.9 其他 
        S667 热带及亚热带果类 
          S667.1 荔枝 
          S667.2 龙眼（桂圆） 
          S667.3 枇杷 
          S667.4 椰子 
          S667.5 橄榄（青果）、乌榄 
          S667.6 杨梅 
          S667.7 芒果 
          S667.8 木菠萝（菠萝蜜） 
          S667.9 其他 
        S668 多年生草本果类 
          S668.1 香蕉 
          {S668.2} 番木瓜 
          S668.3 凤梨（菠萝） 
          S668.4 草莓 
          S668.9 其他 
      S68 观赏园艺（花卉和观赏树木） 
        S681 一、二年生花卉类 
          S681.1 凤仙花 
          S681.2 紫罗兰 
          S681.3 鸡冠花 
          S681.4 一串红 
          S681.5 石竹 
          S681.6 牵牛花 
          S681.7 金盏花 
          S681.9 其他 
        S682 多年生花卉类 
          S682.1 宿根花卉类 
            S682.1+1 菊花 
            S682.1+2 芍药 
            S682.1+3 君子兰 
            S682.1+4 安祖花 
            S682.1+5 报春 
            S682.1+61 竹芋 
            S682.1+62 蜀葵 
            S682.1+9 其他 
          S682.2 球根花卉类 
            S682.2+1 水仙 
            S682.2+2 美人蕉 
            S682.2+3 晚香玉 
            S682.2+4 唐昌蒲 
            S682.2+5 朱顶红 
            S682.2+61 大丽花（西番莲） 
            S682.2+62 仙客来 
            S682.2+63 郁金香 
            S682.2+64 马蹄莲 
            S682.2+9 其他 
          S682.3 其他花卉类 
            S682.31 兰科植物 
            S682.32 水生植物 
            S682.33 仙人掌类及多浆植物 
            S682.34 岩生植物 
            S682.35 蕨类植物 
            S682.36 观叶植物 
            S682.39 其他 
        S685 观花树木类 
          S685.11 牡丹 
          S685.12  巨 、玫瑰、月季 
          S685.13 桂花 
          S685.14 山茶 
          S685.15 玉兰 
          S685.16 茉莉 
          S685.17 梅花 
          S685.18 迎春花 
          S685.21 杜鹃花 
          S685.22 扶桑 
          S685.23 一品红 
          S685.24 连翘 
  
          S685.25 刺梅 
          S685.26 丁香 
          S685.99 其他 
        S686 观果树木类 
        S687 观叶树木类 
          S687.1 行道树 
          S687.2   垣植物 
          S687.3   蔓植物 
          S687.9 其他 
        S688 园林植物栽培及应用技术 
          S688.1 盆景和椿景 
          S688.2 花卉装饰 
          S688.3 花坛 
          S688.4 草坪与地被植物 
          S688.5 篱垣、棚架与植物造型 
            S688.51 绿门 
            S688.52 绿亭 
            S688.53 绿廊 
            S688.54 绿窗 
            S688.55 动物形象 
          S688.9 其他 
    S7 林业 
      S7-0 林业理论与方法论 
        S7-05 林业与各业的关系 
      [S7-9] 林业经济 
      S71 林业基础科学 
        S711 森林数学 
        S712 森林物理学 
        S713 森林化学 
        S714 森林土壤学 
          S714.1 森林土壤形成演化 
          S714.2 森林土壤理化性质 
          S714.3 森林土壤生物学 
          S714.4 森林土壤类型、土壤分类 
          S714.5 森林土壤分析 
          S714.6 森林土壤改良 
          S714.7 森林水土保持 
          S714.8 森林土壤肥力、土壤肥料 
          S714.9 森林土壤地理、土壤调查 
          S714.99 森林土壤图 
        S715 森林水文学 
          S715-3 森林水文调查、试验、研究 
          S715.1 森林流域降水动态 
          S715.2 林冠截流和树干水流 
          S715.3 林地渗透、径流和侵蚀 
          S715.4 森林蒸发和蒸腾 
          S715.5 水量平衡 
          S715.7 森林水文效益的评价 
        S716 森林气象学 
          S716.1 气象观测和预报 
          S716.2 森林气象要素 
          S716.3 森林气候 
          S716.4 森林气象观测仪器设备 
          S716.5 观测资料 
        S717 森林地理学、森林分布 
          S717.1 森林地带分布 
            S717.1+1 赤道带 
            S717.1+2 热带 
            S717.1+3 亚热带 
            S717.1+4 暖温带 
            S717.1+5 温带 
            S717.1+6 亚寒带 
            S717.1+7 寒带 
          S717.19 森林地文分布 
            S717.19+1 平原 
            S717.19+2 丘陵、山地 
            S717.19+3 沙漠 
            S717.19+4 岛屿 
            S717.19+5 高原 
            S717.19+9 其他 
          S717.2/.7 森林地区分布（树木志） 
        S718 森林生物学 
          S718.3 森林植物学 
          S718.4 树木学 
            S718.4-3 树木学研究方法与工作方法 
              S718.4-33 树木学试验方法与试验设备 
                S718.4-339 树木园 
            S718.42 树木形态学 
            S718.43 树木生理学、生物化学、生物物理学 
            S718.45 树木生态学 
            S718.46 树木遗传学 
            S718.47 树木解剖学 
            S718.49 树木分类学 
          S718.5 森林生态学 
  
            S718.51 森林与非生物环境 
              S718.51+1 地形 
              S718.51+2 气候 
                S718.51+2.1 大气 
                S718.51+2.2 光热 
                S718.51+2.3 水 
              S718.51+6 土壤 
              S718.51+9 其他 
            S718.52 森林与生物环境 
              S718.52+1 生物因素 
                S718.52+1.1 动物 
                S718.52+1.2 植物 
                S718.52+1.3 微生物 
              S718.52+4 人类因素 
              S718.52+9 其他 
            S718.53 生境 
            S718.54 森林群落 
              S718.54+1 群落的发生和演替 
              S718.54+2 群落结构、特征 
              S718.54+5 群落分类 
              S718.54+9 其他 
            S718.55 森林生态系统 
              S718.55+1 森林生态系统类型 
                S718.55+1.1 天然林生态类型 
                S718.55+1.2 人工林生态类型 
              S718.55+3 森林生态系统特征 
              S718.55+4 森林生态系统平衡 
                S718.55+4.1 能量流、能量转换 
                S718.55+4.2 物质循环 
              S718.55+6 森林生态系统生产力 
              S718.55+7 森林生态系统评价、分析 
            S718.56 森林的生态效益 
            S718.59 其他 
          S718.6 森林动物学 
            S718.61 爬行类 
            S718.62 两栖类 
            S718.63 鸟纲 
            S718.65 哺乳纲 
            S718.69 其他 
          S718.7 森林昆虫学 
          S718.8 森林微生物学 
            S718.81 真菌 
            S718.83 细菌 
            S718.85 病毒 
            S718.87 类菌质体 
            S718.89 其他 
        [S719] 森林与环境保护 
      S72 造林学、林木育种及造林技术 
        S721 造林计划与实施 
        S722 树木育种及良种繁育 
          S722-6 参考工具书 
            S722-63 种子目录 
          S722.1 种子技术和经营管理 
            S722.1+1 树木结实规律 
            S722.1+2 良种规格 
            S722.1+3 种子采集与选种 
            S722.1+4 种子处理 
            S722.1+5 种子调拨 
            S722.1+6 种子检疫、检验与鉴定 
            S722.1+7 种子贮藏 
            S722.1+9 其他 
          S722.3 育种 
            S722.3+1 树木的变异类型 
            S722.3+3 选择育种 
            S722.3+4 杂交育种 
            S722.3+5 多倍体及人工诱变育种 
            S722.3+6 抗性育种 
            S722.3+7 组织培育法育种 
            S722.3+9 其他 
          S722.5 选种、品种改良 
          S722.7 引种、驯化 
          S722.8 良种繁育 
            S722.8+1 采穗圃 
            S722.8+2 母树林 
            S722.8+3 种子园 
            S722.8+9 其他 
        S723 苗圃学（育苗技术） 
          S723.1 育苗 
            S723.1+1 壮苗规格 
            S723.1+2 苗圃区划、苗圃地选择 
            S723.1+3 苗木培育 
              S723.1+31 播种育苗 
                S723.1+31.1 播种前土壤和种子处理 
                S723.1+31.2 播种地管理 
              S723.1+32 营养繁殖法育苗 
                S723.1+32.1 插条育苗 
                S723.1+32.2 埋条、压条育苗 
                S723.1+32.3 分根、分株育苗 
                S723.1+32.5 插根、埋根育苗 
              S723.1+33 容器育苗 
              S723.1+34 营养土育苗 
              S723.1+35 塑料大棚育苗 
              S723.1+39 其他 
          S723.2 嫁接 
          S723.3 移植 
          S723.4 苗木分级、包装运输、贮藏 
          S723.5 整地 
          S723.6 灌溉 
          S723.7 施肥 
          S723.8 下木栽培、伴生树种 
          S723.9 其他 
        S724 宜林地 
        S725 造林技术 
          S725.1 树种规划和树种选择 
          S725.2 混交造林 
          S725.3 造林调查设计 
          S725.4 整地 
          S725.5 林木施肥 
          S725.6 造林密度 
          S725.7 人工造林 
            S725.71 植苗造林 
            S725.72 播种造林 
            S725.73 分生造林 
            S725.79 其他 
          S725.8 机械造林 
          S725.9 季节造林 
        S727/728 各林种、各类特殊地区的造林 
          01 规划设计 
          02 造林准备 
          03 树种选择 
          04 造林技术 
          05 效益、效果 
          S727.1 用材林 
            S727.13 矿柱林 
            [S727.15] 竹林 
            S727.19 其他 
          S727.2 防护林 
            S727.21 水源涵养林 
            S727.22 水土保持林 
            S727.23 防风固沙林 
            S727.24 农田防护林 
            S727.25 护牧林 
            S727.26 防洪护岸林 
            S727.27 护路林 
            S727.28 环境保护林 
            S727.29 其他 
          S727.3 经济林 
            S727.31 工业原料林 
            S727.32 木本油料林 
            S727.33 干果林 
            S727.34 药用林 
            S727.39 其他 
          S727.4 能源林 
          S727.5 旅游林、风景林 
          S727.9 其他用途林 
          S727.1 用材林 
            S727.13 矿柱林 
            [S727.15] 竹林 
            S727.19 其他 
          S727.2 防护林 
            S727.21 水源涵养林 
            S727.22 水土保持林 
            S727.23 防风固沙林 
            S727.24 农田防护林 
            S727.25 护牧林 
            S727.26 防洪护岸林 
            S727.27 护路林 
            S727.28 环境保护林 
            S727.29 其他 
          S727.3 经济林 
            S727.31 工业原料林 
            S727.32 木本油料林 
            S727.33 干果林 
            S727.34 药用林 
            S727.39 其他 
          S727.4 能源林 
          S727.5 旅游林、风景林 
          S727.9 其他用途林 
        S727 各林种造林 
          S727.1 用材林 
            S727.13 矿柱林 
            [S727.15] 竹林 
            S727.19 其他 
          S727.2 防护林 
            S727.21 水源涵养林 
            S727.22 水土保持林 
            S727.23 防风固沙林 
            S727.24 农田防护林 
            S727.25 护牧林 
            S727.26 防洪护岸林 
            S727.27 护路林 
            S727.28 环境保护林 
            S727.29 其他 
          S727.3 经济林 
            S727.31 工业原料林 
            S727.32 木本油料林 
            S727.33 干果林 
            S727.34 药用林 
            S727.39 其他 
          S727.4 能源林 
          S727.5 旅游林、风景林 
          S727.9 其他用途林 
        S728 特殊地区造林 
          S728.1 荒山、荒地造林 
          S728.2 干旱地区造林 
          S728.3 草原造林 
          S728.4 沙漠造林 
          S728.5 盐碱地造林 
          S728.6 沿海造林 
          S728.9 其他 
      S73 绿化建设 
        S731 大地园林 
          S731.1 区域绿化 
          S731.2 城市绿化 
          S731.3 自然风景区绿化 
          S731.5 居民区绿化 
            S731.52 四旁绿化 
          S731.6 工矿区绿化 
          S731.7 乡村绿化 
          S731.8 道路绿化 
          S731.9 其他 
        S732 中国绿化建设 
        S733/737 各国绿化建设 
      S75 森林经营学、森林计测学、森林经理学 
        S750 森林经营学 
        S751 森林作业法 
          S751+.1 乔林作业 
          S751+.2 中林作业 
          S751+.3 萌芽作业 
            S751+.31 矮林作业 
            S751+.32 头木作业 
            S751+.33 截枝作业 
          S751+.5 竹林作业 
          S751+.9 其他 
        S752 森林主伐 
          S752.1 皆伐 
          S752.2 择伐 
            S752.2+1 采育择伐 
            S752.2+2 经营择伐 
            S752.2+3 径级择伐 
            S752.2+4 群状择伐 
          S752.3 渐伐 
            S752.3+1 预备伐 
            S752.3+2 下种伐 
            S752.3+3 受光伐 
            S752.3+4 后伐 
            S752.3+6 二次渐伐 
          S752.6 采育兼顾伐 
          S752.9 其他 
        S753 森林间伐及抚育 
          S753.1 林木分级 
          S753.3 林分密度 
          S753.5 抚育种类、抚育方式和措施 
            S753.51 抚育种类 
              S753.51+1 透光伐 
              S753.51+2 除伐 
              S753.51+3 疏伐 
              S753.51+4 生长伐 
              S753.51+6 卫生伐 
              S753.51+8 修枝 
              S753.51+9 其他 
            S753.52 抚育方式 
              S753.52+1 上层抚育 
              S753.52+2 下层抚育 
              S753.52+5 综合抚育 
            S753.53 抚育措施 
              S753.53+1 松土、除草 
              S753.53+2 施肥 
              S753.53+3 灌溉、排水 
              S753.53+5 下木栽培 
              S753.53+6 林农间作 
            S753.59 其他 
          S753.7 抚育采伐指标和效果 
            S753.7+1 抚育采伐强度 
            S753.7+3 抚育重复期 
            S753.7+5 抚育采伐效果 
          S753.9 其他 
        S754 森林更新 
          S754.1 天然更新 
          S754.3 人工更新 
          S754.5 人工促进天然更新 
        S755 封山育林 
        S756 林分改造 
          S756.1 机械化改造 
          S756.2 化学改造 
          S756.3 生物改造 
          S756.4 次生林改造 
          S756.5 低产林改造 
          S756.9 其他 
        S757 森林经理学 
          S757.1 基本理论、原理 
          S757.2 森林资源调查 
            S757.2+1 森林抽样调查法 
              S757.2+11 简单随机抽样 
              S757.2+12 分层抽样 
              S757.2+13 成数分成抽样 
              S757.2+14 多阶抽样 
              S757.2+15 多重抽样 
              S757.2+16 成群抽样 
              S757.2+19 其他 
            S757.2+2 森林资源连续清查（一类调查） 
            S757.2+3 伐区每木调查法 
            S757.2+4 数理统计在森林资源清查中的应用 
            S757.2+7 森林经理调查（二类调查） 
            S757.2+8 作业调查（三类调查） 
            S757.2+9 竹林调查 
          S757.3 森林综合调查 
          S757.4 森林规划、森林设计 
            S757.4+1 林区开发总方案 
            S757.4+2 林业局（场）总体规划设计 
            S757.4+3 经营单位及区划 
            S757.4+4 森林经营周期 
            S757.4+5 采伐量的确定 
            S757.4+6 经营措施的制定 
            S757.4+7 森林经营方案的编制、执行 
            [S757.4+8] 林相图 
          [S757.9] 林场经营、管理 
        S758 森林计测学（测树学） 
          S758.1 单株立木测定 
          S758.2 伐倒木测定 
          S758.3 原条、原木材积测定 
          S758.4 大面积森林测定 
          S758.5 林分测定 
            S758.5+1 林分蓄积 
            S758.5+2 林分生长 
            S758.5+3 林分结构 
            S758.5+4 林分平均高测定 
            S758.5+5 林分直径、断面积测定 
            S758.5+6 林龄测定 
            S758.5+7 地位极 
            S758.5+8 林分密度测定 
            S758.5+9 林层划分 
          S758.6 林业图表 
            S758.61 林业用图 
            S758.62 林业数表 
          S758.7 测树仪器和工具 
          S758.8 森林鉴定、森林评定 
        S759 各林种及林副产品经营 
          S759.1 用材林 
            S759.1+3 矿柱林 
            [S759.1+5] 竹林 
            S759.1+9 其他 
          S759.2 防护林 
          S759.3 经济林 
            S759.3+1 工业原料林 
            S759.3+3 木本油料林 
            S759.3+4 干果林 
            S759.3+5 药用林 
            S759.3+9 其他 
          S759.4 能源林 
          S759.5 游憩林、风景林 
          S759.6 其他林种 
          S759.7 林区养殖业 
            S759.7+1 紫胶经营 
            S759.7+2 虫白蜡经营 
            S759.7+3 五倍子经营 
            S759.7+9 其他 
          S759.8 林副产品经营 
            S759.81 食用菌类 
            S759.82 林区药材 
            S759.83 野果 
            S759.89 其他 
        S759.9 自然保护区 
          S759.91 国家森林公园 
          S759.92 自然景观保护区 
          S759.93 自然资源保护区 
          S759.94 稀有动植物保护区 
          S759.95 基因库 
          S759.99 世界各国自然保护区 
      S76 森林保护学 
        S761 气象灾害及其防治 
          S761.1 水、旱灾 
          S761.2 风暴 
          S761.3 霜冻、寒潮 
          S761.4 冰雹 
          S761.5 雷电 
          [S761.6] 大气中化学物质对林木的损害 
          S761.9 其他 
        S762 林火 
          S762.1 森林火灾的成因、种类及影响 
          S762.2 森林火灾的预测预报 
          S762.3 森林防火与灭火 
            S762.3+1 火险等级 
            S762.3+2 林火监测 
            S762.3+3 防火措施 
            S762.3+4 林火控制 
          S762.6 航空护林防火与灭火 
          S762.8 林火的利用 
        S763 森林病虫害及其防治 
                S763.1/.2 各种森林病害及其防治 
            01 病理、症状 
            02 病原和寄主 
            03 分布、为害 
            04 发病规律 
            05 预测、预报 
            06 防治方法 
          S763.1 病害及其防治 
            S763.11 侵染性病害 
              S763.12 病毒 
              S763.13 细菌 
              S763.14 类菌质体 
              S763.15 真菌 
              S763.18 其他 
            S763.19 非侵染性病害 
          S763.2 寄生植物所致病害及其防治 
          S763.3 虫害及其防治 
            S763.30 一般性问题 
              S763.301 生物学特性 
              S763.302 种群 
              S763.303 分布、为害 
              S763.305 预测、预报 
              S763.306 防治方法 
                S763.306.1 综合防治 
                S763.306.2 土壤消毒 
                S763.306.3 种子处理 
                S763.306.4 生物防治 
                S763.306.5 遗传防治 
                S763.306.6 物理防治 
                S763.306.7 化学防治 
                S763.306.9 其他防治 
                  S763.31/.49 各种虫害及其防治 
            S763.31 直翅目害虫 
            S763.32 纺足目害虫 
            S763.33 等翅目害虫 
            S763.34 啮虫目害虫 
            S763.35 半翅目害虫 
            S763.37 缨翅目害虫 
            S763.38 鞘翅目害虫 
            S763.41 双翅目害虫 
            S763.42 鳞翅目害虫 
              S763.42+1 松毛虫 
            S763.43 膜翅目害虫 
            S763.46 蜱螨类 
            S763.49 其他害虫 
          S763.7 各种树的病虫害及其防治 
        S764 动物为害及其防治 
          S764.1 鸟害及其防治 
          S764.3 兽害及其防治 
          S764.5 啮齿类动物为害及其防治 
          S764.9 其他 
        S765 有害草木及其清除 
          S765.1 杂草 
          S765.3 毒草 
          S765.5 寄生性有害植物 
        S766 人为损害及其防治 
        S767 防治药品及其使用 
          S767.1 杀菌剂 
            S767.1+1 无机杀菌剂 
            S767.1+5 有机杀菌剂 
            S767.1+6 生物杀菌剂 
          S767.2 杀螨剂 
          S767.3 杀虫剂 
            S767.3+2 微生物杀虫剂 
            S767.3+3 激素类药物 
            S767.3+4 有机杀虫剂 
            S767.3+5 无机杀虫剂 
            S767.3+6 油皂 
            S767.3+7 植物杀虫剂 
            S767.3+8 熏蒸剂 
            S767.3+9 其他 
          S767.4 杀鼠剂 
          S767.5 除莠（草）剂 
          S767.6 防火剂 
          S767.9 其他林药 
        [S768] 防治器械 
        S769 其他防治方法 
      S77 森林工程、林业机械 
        S771 森林测量、林业测绘 
          S771.1 大片林区测量 
          S771.2 林业局（场）境界测量 
          S771.3 制图 
          S771.4 面积平差 
          S771.5 森林航测 
            S771.5+1 林区航空摄影 
            S771.5+2 森林航测仪器 
            S771.5+3 森林航测制图 
            S771.5+4 森林航摄像片判读 
            S771.5+5 判读仪器 
          S771.8 森林遥感 
        S772 森林建筑工程 
        S773 森林运输工程 
          S773.2 森林铁路 
            S773.2+4 干线 
            S773.2+5 岔线 
          S773.3 林区公路 
  
            S773.3+4 干线 
            S773.3+5 岔线 
          S773.4 桥涵 
          S773.6 林区道路网 
          [S773.8] 木材水运设施 
          S773.9 其他 
        S774 森林水土保持工程 
        S775 防沙工程 
        S776 林业机械 
          S776.0 一般性问题 
            S776.01 理论 
            S776.02 设计、计算、制图 
            S776.03 结构、零件、装置 
              S776.031 动力部分 
              S776.032 传动装置 
              S776.033 行走装置 
              S776.034 工作装置 
              S776.035 电气、仪表装置 
              S776.036 振动与噪声消除装置 
              S776.038 辅助装置 
            S776.04 材料 
            S776.05 制造 
            S776.06 安装 
            S776.07 操作、检修 
                S776.2/.3 各种林业机械 
          S776.2 营林作业机械与设备 
            S776.21 林地清理及整地机械 
              S776.21+1 林地清理机械 
              S776.21+2 整地机械 
            S776.22 采种及种子处理机具 
              S776.22+2 采种机械 
              S776.22+3 种子调制机械 
              S776.22+5 种子清选机械 
              S776.22+6 种子干燥机械 
              S776.22+9 其他 
            S776.24 苗圃机械 
              S776.24+1 厩肥捣碎和施肥机械、化肥施肥机 
              S776.24+2 筑床和起垄机械 
              S776.24+3 播种机械 
              S776.24+4 覆盖机械 
              S776.24+5 灌溉和喷灌机械 
              S776.24+6 切根和起苗机械 
  
              S776.24+7 移植机具 
              S776.24+8 切条和扦条机械 
              S776.24+9 苗木分级和包装机械 
            S776.25 容器育苗设备 
            S776.26 造林机械 
              S776.26+2 挖坑机 
              S776.26+3 植树机 
              S776.26+4 采伐迹地植树机 
              S776.26+5 造林直播机 
              S776.26+8 飞机直播装置 
              S776.26+9 其他 
            S776.27 抚育机械 
              S776.27+1 幼林除草松土机 
              S776.27+2 割草、割灌机具 
              S776.27+3 化学及火焰除草机械 
              S776.27+4 修枝机 
              S776.27+6 抚育伐机械 
              S776.27+9 其他 
            S776.28 病虫害防治机械 
            S776.29 森林防火设备 
              S776.29+2 火灾探测设备 
              S776.29+3 消防车 
              S776.29+4 抛土灭火机、风力灭火机 
              S776.29+5 防火带开设机械 
              S776.29+6 飞机灭火装置 
              S776.29+9 其他防火机具 
          S776.3 木材采运机械 
            S776.31 采伐机械 
              S776.31+1 链锯 
              S776.31+2 液压伐木装置 
              S776.31+3 打枝机 
              S776.31+4 剥皮机 
              S776.31+5 伐区削片机 
              S776.31+9 其他 
            S776.32 集材机械 
              S776.32+1 绞盘机 
              S776.32+2 地面索道集材设备 
              S776.32+3 架空索道集材设备 
              S776.32+4 空中集材设备 
              S776.32+5 集材拖拉机 
              S776.32+9 其他 
            S776.33 伐区联合机械 
              S776.33+1 伐木-集材联合机 
              S776.33+2 伐木-归堆联合机 
              S776.33+3 伐木-打枝-归堆联合机 
              S776.33+4 伐木-打枝-造材-归堆联合机 
              S776.33+6 打枝-造材联合机 
              S776.33+8 自装集材机 
              S776.33+9 其他 
            S776.34 伐区装车机械与设备 
            S776.36 运材机械与设备 
              S776.36+1 运材车 
              S776.36+2 运材挂车 
              S776.36+3 森林铁路机车和车辆 
              S776.36+4 自装设备 
              S776.36+6 水运机械与设备 
              S776.36+9 其他 
            S776.37 贮木场机械 
              S776.37+1 木材重量检尺设备 
              S776.37+2 卸车机械 
              S776.37+3 传送机械 
              S776.37+4 造材机械 
              S776.37+5 选材及抛木机械 
              S776.37+6 归楞、装车机械 
              S776.37+9 其他 
          S776.4 筑路与养护机械 
          S776.9 林业机械厂 
        [S777] 木工机械 
        S778 林业电气通讯设备 
        S779 林业航空 
      S78 森林采运与利用 
        S781 木材学 
          S781.1 木材的构造和识别 
          S781.2 木材的力学性质 
            S781.21 木材的强度 
            S781.23 木材的弹性、塑性、冲击韧性及易曲性 
            S781.25 根材和枝丫材的力学性质 
            S781.29 木材的物理力学性质 
          S781.3 木材的物理性质 
            S781.31 木材密度 
            S781.33 木材水分 
            S781.35 木材透气性质 
            S781.37 木材热学性质 
            S781.38 木材声学性质 
            S781.39 木材电学性质 
          S781.4 木材的化学性质 
            S781.41 木材的化学成分 
            S781.42 木材化学成分对木材性质和利用的影响 
            S781.43 化学药剂对木材的作用 
            [S781.45] 木材浸提 
            [S781.46] 木材热解 
            S781.48 树皮的化学性质 
          S781.5 木材的缺陷 
            S781.51 天然缺陷 
            S781.52 生物危害缺陷及防治 
          S781.6 木材的工艺性能 
            S781.61 表面性质 
            S781.62 尺寸稳定性 
            S781.63 可加工性 
            S781.64 握钉力和拧紧力 
            S781.65 胶合性 
            S781.69 其他 
          S781.7 木材材质改进 
            S781.71 木材干燥 
            [S781.72] 木材防腐 
            [S781.73] 木材滞火处理 
          S781.8 各种树种的木材 
            S781.81 阔叶树木材 
            S781.82 针叶树木材 
            S781.83 珍贵树种及外来树种木材 
          S781.89 木材志 
          S781.9 竹材及性能 
        S782 木材采运学 
          S782.1 采伐 
            S782.11 人工采伐 
            S782.12 机械化采伐 
            S782.13 电气化采伐 
            S782.15 安全技术 
            S782.17 采伐迹地清理 
          S782.2 集材和伐区装车 
            S782.2+1 集材场 
            S782.2+2 人工集材 
            S782.2+3 畜力集材 
            S782.2+4 滑道集材 
            S782.2+5 机械化集材 
